Dependency,Model Name,Domain,Channels,Window Size,Step Size,Hyperparams,Target,Mean,Std,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
Dependent,3DCNN-Baseline,Stacked,5,1,1,50 epochs; 10 folds; 4x4 kernel on 5x5 image,ARO,85.62,6.77,91.33,79.27,96.75,89.83,87.68,86.43,89.63,90.58,90.56,85.26,81.95,91.58,88.29,81.49,82.8,90.35,71.93,90.93,75.08,93.42,90.61,69.86,93.53,87.48,87.08,88.52,92.48,79.27,84.26,72.3,80.73,78.6
Dependent,3DCNN-Baseline,Stacked,5,1,1,50 epochs; 10 folds; 4x4 kernel on 5x5 image,VAL,84.17,7.41,88.9,83.42,92.66,89.71,87.87,90.71,90.45,92.26,88.79,80.79,80.13,85.43,83.84,78.5,74.5,94.17,71.08,94.18,76.14,89.67,81.94,74.96,92.32,63.83,81.12,87.76,93.5,82.92,86.58,73.11,80.8,81.43
Dependent,3DCNN,Stacked,5,1,1,50 epochs; 10 folds; 4x4 kernel on 5x5 image,ARO,66.22,9.02,62.27,57.8,87.09,65.96,58.21,54.83,59.96,69.27,65.15,55.45,59.83,82.11,84.72,64.2,64.22,65.35,65.56,64.17,65.91,76.71,79.28,57.57,76.81,81.88,68.86,59.79,66.4,55.7,62.91,54.71,58.71,67.5
Dependent,3DCNN,Stacked,5,1,1,50 epochs; 10 folds; 4x4 kernel on 5x5 image,VAL,64.95,7.02,55.99,75.65,61.16,68.56,60.25,72.62,73.55,68.58,61.42,68.2,59.73,61.66,71.76,65.87,75.98,75.09,54.54,77.84,60.38,67.02,51.6,60.64,71.47,58.23,54.73,63.57,73.11,65.43,61.55,64.53,56.64,61.09
Dependent,3DCNN-Baseline,Stacked,5,3,3,50 epochs; 10 folds; 4x4 kernel on 5x5 image,ARO,91.81,2.89,93.38,85.12,96.0,92.62,84.5,88.5,91.5,90.75,90.12,96.0,96.88,92.75,93.37,91.25,92.0,93.25,87.62,90.0,90.75,93.37,90.88,96.5,94.88,92.5,94.62,93.12,92.25,90.5,93.38,89.87,90.75,88.87
Dependent,3DCNN-Baseline,Stacked,5,3,3,50 epochs; 10 folds; 4x4 kernel on 5x5 image,VAL,91.38,2.72,91.0,87.25,92.25,91.37,88.0,89.5,92.37,92.25,90.25,95.12,94.88,84.5,90.13,89.5,93.87,93.62,85.87,89.88,93.12,93.0,89.25,94.87,94.88,93.12,95.12,93.5,90.12,88.63,93.37,93.25,91.38,89.0
Dependent,3DCNN,Stacked,5,3,3,50 epochs; 10 folds; 4x4 kernel on 5x5 image,ARO,69.51,8.08,60.75,60.37,87.88,65.87,61.75,54.5,62.13,70.25,66.75,72.63,68.5,82.63,81.63,74.62,68.63,68.25,62.12,68.63,83.38,74.5,75.0,67.75,80.5,80.87,69.38,65.5,73.0,64.5,59.0,65.12,58.0,69.88
Dependent,3DCNN,Stacked,5,3,3,50 epochs; 10 folds; 4x4 kernel on 5x5 image,VAL,67.91,6.38,55.88,78.25,65.25,65.37,59.12,76.25,73.87,70.38,66.63,68.75,72.75,61.62,68.87,57.25,68.12,66.25,55.88,65.0,68.5,69.63,60.0,75.5,73.38,70.5,64.75,81.25,74.62,60.62,66.75,72.87,65.5,73.75
