Dependency,Model Name,Domain,Channels,Window Size,Step Size,Hyperparams,Target,Mean,Std,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
Dependent,3DCNN-Baseline,Stacked,32,1,1,50 epochs; 10 folds; 4x4 kernel on 9x9 image,ARO,89.74,7.33,97.72,74.75,94.92,87.19,88.9,93.73,96.91,92.15,79.5,90.54,85.96,95.84,93.06,90.55,94.32,94.76,68.46,96.67,88.33,94.89,95.94,75.28,96.39,92.97,94.84,83.32,96.73,86.6,93.27,85.9,92.28,78.92
Dependent,3DCNN-Baseline,Stacked,32,1,1,50 epochs; 10 folds; 4x4 kernel on 9x9 image,VAL,88.75,6.82,97.37,73.64,91.24,87.28,86.96,94.23,97.09,92.03,81.57,88.39,82.42,92.51,89.98,88.19,88.16,95.72,68.98,94.13,88.83,94.02,94.26,89.2,96.46,80.33,90.45,83.47,96.69,87.93,94.16,86.24,92.03,76.1
Dependent,3DCNN,Stacked,32,1,1,50 epochs; 10 folds; 4x4 kernel on 9x9 image,ARO,67.46,7.78,68.19,59.55,79.53,62.82,57.34,60.92,67.43,62.46,62.1,64.5,58.39,80.78,84.3,68.13,71.33,71.36,65.52,64.1,67.25,76.23,75.88,57.51,81.01,79.24,70.23,58.95,74.06,58.15,64.25,57.23,63.3,66.77
Dependent,3DCNN,Stacked,32,1,1,50 epochs; 10 folds; 4x4 kernel on 9x9 image,VAL,66.63,7.21,66.31,65,63.1,67.03,60.45,72.94,72.83,66.27,65.27,74.36,58.54,61.39,72.63,70.17,82.01,78.34,55.07,80.57,64.48,68.97,55.99,66.48,77.31,58.84,55.88,63.62,76.4,64.16,64.17,63.18,60.51,59.79
Dependent,3DCNN-Baseline,Stacked,32,3,3,50 epochs; 10 folds; 4x4 kernel on 9x9 image,ARO,87.69,6.67,97.75,70.37,92.13,83.38,84.25,92.12,96.25,90.13,80.25,81.75,84.12,95.25,94,86.62,89.88,94,71,90,85.5,93,91.75,79.88,93.12,89.37,88,85.75,96,86.13,91.88,85.37,89.25,77.75
Dependent,3DCNN-Baseline,Stacked,32,3,3,50 epochs; 10 folds; 4x4 kernel on 9x9 image,VAL,86.51,7.86,97,66.75,92.13,83,80.63,93.75,96.25,90,80.37,84.5,84.87,88.25,90.88,82.5,88.5,92.13,67.5,92.37,86.75,91,87.75,79.63,94.75,71.75,88,87.87,97.13,89.25,93.62,87.63,88.87,72.87
Dependent,3DCNN,Stacked,32,3,3,50 epochs; 10 folds; 4x4 kernel on 9x9 image,ARO,67.75,7.44,72.25,62.75,77.75,63,53.12,60.37,69.25,61.63,62.62,60.25,64.75,79.25,84.38,64.75,71.75,72.25,67.13,68.13,69.75,72.38,77.25,60,78.25,78.88,66.75,59.25,75,59.63,66,56.5,63.63,69.37
Dependent,3DCNN,Stacked,32,3,3,50 epochs; 10 folds; 4x4 kernel on 9x9 image,VAL,67.35,6.64,65.75,63.88,67.75,66.75,62.25,73.5,71.63,63.25,69.5,70.87,60.25,60.62,78,68.38,80.87,75.63,57.88,81.12,68.62,68.75,54.5,66.75,76,59,58,67.37,75.87,66,68,63.87,61.88,62.63
